bathrooms,bedrooms,car_spaces,floor_area_m2,land_size_m2,price_php
6,3,0,340.0,461.0,34000000.0
3,3,2,93.0,112.0,9013000.0
3,3,0,113.0,239.0,25891200.0
2,3,0,63.0,100.0,6326402.0
3,4,2,90.0,100.0,6056080.0
3,3,0,340.0,461.0,38563100.0
4,4,2,400.0,309.0,35000000.0
2,3,0,100.0,200.0,14698332.0
3,3,2,112.0,70.0,7500000.0
5,5,2,253.0,150.0,14500000.0
5,5,2,342.0,158.0,16800000.0
2,3,0,73.6,110.0,4766020.0
3,3,2,92.0,112.0,9900000.0
1,2,0,42.0,50.0,2140585.0
3,9,8,600.0,1144.0,12500000.0
3,4,2,150.0,338.0,6500000.0
2,3,1,85.0,70.0,4837250.0
3,3,2,177.58,42.88,13658000.0
2,3,1,105.0,123.0,7701600.0
3,3,0,250.0,384.0,61440000.0
4,4,2,210.85,72.71,16000000.0
2,3,1,99.0,112.5,3440000.0
2,3,1,90.0,110.0,5460000.0
3,3,0,164.0,102.0,11000000.0
2,2,1,100.0,56.0,4000000.0
5,5,5,675.0,555.0,195000000.0
2,2,1,62.0,62.0,5129046.0
4,3,2,139.0,50.4,9180000.0
2,4,0,75.0,100.0,3700000.0
3,4,2,122.94,112.5,4035600.0
3,4,2,80.0,96.0,7868000.0
3,4,2,420.0,300.0,24900000.0
4,3,4,300.0,114.0,50000000.0
3,4,0,150.0,280.0,24433000.0
1,2,0,46.0,95.0,1620000.0
4,4,0,174.66,176.0,9959130.0
4,4,2,374.0,324.0,45329000.0
1,3,0,40.0,40.0,1935600.0
2,3,0,66.0,120.0,4157440.0
1,2,1,45.0,50.0,1152000.0
4,5,6,312.68,162.0,40000000.0
2,3,0,85.0,218.0,11600000.0
2,3,0,72.0,100.0,4727402.0
2,2,1,73.0,70.0,2866254.0
4,4,2,500.0,570.0,120000000.0
3,4,0,235.0,150.0,13500000.0
2,3,0,100.0,200.0,11568000.0
1,3,0,56.25,72.0,3100000.0
4,4,0,570.0,156.0,64000000.0
2,3,0,77.0,100.0,3013000.0
2,3,0,82.0,120.0,7100000.0
1,4,0,300.0,150.0,20000000.0
2,3,1,59.86,56.0,3800000.0
1,2,1,32.0,77.0,1440000.0
3,4,1,126.0,71.0,15500000.0
1,3,1,54.0,50.0,2044125.0
1,3,0,50.2,80.0,2300000.0
3,4,0,300.0,311.0,19000000.0
1,3,2,198.0,240.0,19160960.0
2,2,0,66.5,48.0,4200000.0
3,3,0,211.0,176.0,13000000.0
4,4,2,252.0,179.0,22400000.0
3,3,1,104.0,70.0,6300000.0
2,3,0,250.0,2779.0,35000000.0
4,4,2,355.98,110.0,50000000.0
2,3,2,84.0,81.0,6200000.0
3,3,1,201.0,255.0,9000000.0
5,4,5,390.0,100.0,49500000.0
2,3,2,138.0,102.0,8800000.0
3,4,0,89.0,162.0,5286500.0
6,4,4,410.0,200.0,48800000.0
3,3,1,180.0,77.0,8500000.0
4,4,0,900.0,1000.0,600000000.0
4,4,4,900.0,720.0,240000000.0
3,4,2,181.0,104.0,6700000.0
2,2,1,105.0,62.0,3800000.0
1,22,0,990.0,321.0,75000000.0
3,4,2,149.0,83.0,8500000.0
12,12,0,1200.0,1000.0,120000000.0
3,4,2,315.0,200.0,18500000.0
4,5,2,381.0,490.0,57000000.0
5,5,0,450.0,344.0,95000000.0
2,2,1,47.0,49.0,3808000.0
2,3,0,103.0,67.0,8500000.0
3,3,1,104.0,80.0,6000000.0
5,5,6,800.0,716.0,280000000.0
5,4,0,240.0,176.0,18000000.0
6,6,4,596.0,455.0,55000000.0
3,4,2,100.0,81.0,7200000.0
3,3,0,75.0,126.0,5100000.0
2,2,1,61.0,71.0,4677840.0
6,7,4,675.0,555.0,195000000.0
2,3,1,104.0,71.0,5600000.0
4,4,2,250.0,266.0,32000000.0
6,4,6,800.0,500.0,95000000.0
2,2,2,155.0,219.0,9500000.0
6,5,2,260.0,200.0,17000000.0
3,4,1,165.0,100.0,9675000.0
9,9,2,521.0,523.0,55000000.0
2,3,2,75.0,126.0,5100000.0
6,5,0,800.0,500.0,105000000.0
6,4,2,220.0,169.0,17000000.0
5,5,1,240.0,200.0,17800000.0
5,5,5,1200.0,600.0,190000000.0
1,2,0,40.0,36.0,2079000.0
2,3,2,161.0,52.0,22892000.0
5,5,4,650.0,512.0,32000000.0
2,2,1,95.0,51.0,4915000.0
3,3,1,180.0,98.0,8500000.0
2,2,0,53.0,88.0,5785800.0
3,3,0,80.0,100.0,5800000.0
2,3,2,60.0,80.0,4200000.0
5,4,0,172.0,264.0,17000000.0
4,4,0,255.0,440.0,20000000.0
2,3,0,120.0,74.0,5600000.0
3,4,0,167.0,137.0,13429427.0
2,3,0,66.0,88.0,6744495.0
4,4,2,269.0,100.0,27500000.0
1,4,4,410.0,200.0,48800000.0
2,3,1,60.0,80.0,4200000.0
3,3,1,114.0,25.76,8800000.0
2,4,2,180.0,300.0,25000000.0
7,6,0,995.0,650.0,120000000.0
5,5,5,850.0,663.0,105000000.0
3,3,0,150.0,67.0,8500000.0
5,5,3,450.0,400.0,49000000.0
7,12,7,2000.0,1382.0,165000000.0
2,3,0,200.0,600.0,90000000.0
5,5,0,850.0,762.0,320000000.0
1,2,1,50.2,80.0,2300000.0
2,3,2,200.0,210.0,6200000.0
10,12,0,270.0,61.0,7500000.0
4,4,1,240.0,150.0,9500000.0
2,3,2,90.0,89.0,5032000.0
1,1,1,42.0,84.0,2300000.0
5,3,1,165.0,206.0,10500000.0
5,4,0,1041.0,900.0,75000000.0
3,4,2,167.5,125.0,10500000.0
6,5,0,480.0,500.0,11000000.0
2,3,2,180.0,68.0,12000000.0
2,4,2,120.0,88.0,9200000.0
2,3,1,106.0,25.0,7650000.0
2,3,0,70.0,80.0,4600000.0
2,3,1,117.0,67.0,7126000.0
4,3,1,188.0,105.0,8900000.0
4,4,0,880.0,640.0,68000000.0
1,3,1,100.0,51.3,6900000.0
5,5,2,470.0,426.0,136000000.0
2,3,0,65.0,83.0,10000000.0
2,4,2,200.0,238.0,12000000.0
3,5,4,450.0,300.0,22000000.0
4,4,0,211.0,176.0,13000000.0
2,3,0,290.0,12802.0,11000000.0
2,2,2,160.0,180.0,17500000.0
4,5,2,187.0,80.0,11500000.0
3,3,1,170.0,68.0,7200000.0
3,5,2,302.0,358.0,22000000.0
3,4,1,113.0,230.0,7489944.0
4,5,0,80.0,1203.0,228570000.0
2,3,1,94.0,89.0,4859800.0
3,3,2,165.0,50.0,13800000.0
2,3,0,200.0,295.0,13000000.0
1,2,3,70.0,156.0,10900000.0
4,4,2,272.0,267.0,20000000.0
3,3,2,232.0,150.0,16500000.0
6,7,4,800.0,555.0,195000000.0
4,4,0,600.0,599.0,117500000.0
3,4,2,85.0,80.0,5195000.0
1,2,0,46.6,40.0,943429.0
2,3,1,105.45,57.6,5850000.0
3,3,0,81.0,56.0,2639043.0
2,2,0,70.0,134.0,4400000.0
9,8,0,765.0,351.0,55000000.0
5,5,4,500.0,338.0,41500000.0
3,3,1,189.65,200.0,13500000.0
7,5,4,380.0,792.0,36000000.0
9,8,2,765.0,351.0,55000000.0
4,4,2,210.0,204.0,12000000.0
2,2,1,100.0,67.0,9000000.0
3,3,0,290.0,100.0,8800000.0
3,3,1,180.0,60.0,7200000.0
3,2,2,250.0,68.0,12000000.0
5,4,4,850.0,364.0,95000000.0
4,4,4,532.0,482.0,95000000.0
2,2,1,58.0,50.0,3700000.0
3,4,4,500.0,525.0,27000000.0
4,4,0,119.0,170.0,12000000.0
6,5,2,500.0,300.0,52000000.0
4,4,2,160.59,63.0,13000000.0
4,5,1,332.0,353.0,129000000.0
1,2,0,40.0,48.0,2923000.0
2,4,2,190.0,276.0,10500000.0
2,3,2,194.0,92.0,17500000.0
3,3,4,210.0,155.0,13200000.0
2,2,0,65.0,78.0,5300000.0
2,3,2,57.0,97.0,3902640.0
4,4,2,200.0,195.0,13700000.0
3,4,0,97.0,110.0,7900000.0
3,4,1,94.0,60.0,6000000.0
1,2,0,40.0,60.0,2150000.0
4,5,2,270.0,105.0,11900000.0
2,2,0,84.0,74.0,4000000.0
4,4,4,650.0,800.0,120000000.0
6,6,0,600.0,860.0,128000000.0
3,4,2,130.0,80.0,7500000.0
7,7,10,900.0,630.0,68500000.0
4,4,3,415.0,120.0,45500000.0
2,3,2,75.0,128.0,5100000.0
5,5,3,820.0,480.0,160000000.0
4,4,2,350.0,490.0,49500000.0
11,8,4,800.0,600.0,95000000.0
4,4,8,450.0,9210.0,58000000.0
3,3,2,252.0,67.0,22680000.0
3,3,2,117.0,60.0,7400000.0
3,4,3,200.0,75.0,15500000.0
6,4,5,800.0,1000.0,40000000.0
2,4,2,80.0,120.0,5196800.0
3,2,0,280.0,150.0,8000000.0
6,5,6,396.0,187.0,89000000.0
4,3,2,300.0,174.0,18000000.0
3,4,2,253.0,150.0,14500000.0
5,5,4,516.0,534.0,128000000.0
3,4,2,300.0,357.0,17000000.0
5,5,0,1041.0,900.0,75000000.0
4,4,5,750.0,380.0,85000000.0
4,4,4,500.0,474.0,65000000.0
2,3,1,105.0,60.0,4600000.0
4,4,0,160.0,99.0,8500000.0
6,5,2,320.0,216.0,29500000.0
2,3,1,100.63,77.0,6029000.0
6,6,4,680.0,700.0,88000000.0
5,4,2,275.0,318.0,21000000.0
3,4,0,150.0,165.0,15000000.0
3,4,1,80.0,64.0,4880000.0
5,4,0,720.0,840.0,29000000.0
3,3,2,127.0,42.0,8888888.0
5,5,3,467.0,195.0,100000000.0
4,4,4,500.0,706.0,80000000.0
3,3,3,500.0,805.0,265000000.0
4,5,0,344.0,296.0,48000000.0
